Venue	WPNSA 2
Total Competitors	59
Newcomers	5
No of Males	37
No of Females	22
Under 17	39
Under 20	5
Master	4
Veteran	5

Venue	WPNSA 1
Total Competitors	49
Newcomers	11
No of Males	25
No of Females	24
Under 17	44
Under 20	4
Master	0
Veteran	0

Venue	StokesBay
Total Competitors	63
Newcomers	7
No of Males	39
No of Females	23
Under 17	42
Under 20	2
Master	4
Veteran	7

Venue	Bridlington
Total Competitors	41
Newcomers	6
No of Males	24
No of Females	17
Under 17	22
Under 20	1
Master	6
Veteran	5

Venue	Pwllheli
Total Competitors	53
Newcomers	3
No of Males	31
No of Females	22
Under 17	35
Under 20	4
Master	3
Veteran	5

Venue	Christchurch
Total Competitors	51
Newcomers	3
No of Males	32
No of Females	19
Under 17	33
Under 20	4
Master	4
Veteran	4

