Venue	Weymouth
Total Competitors	48
Newcomers	4
No of Males	42
No of Females	6
Under 17	7
Under 20	4
Master	19
Veteran	8

Venue	Worthing
Total Competitors	39
Newcomers	1
No of Males	35
No of Females	4
Under 17	5
Under 20	2
Master	15
Veteran	7

Venue	Felixstowe
Total Competitors	38
Newcomers	5
No of Males	34
No of Females	3
Under 17	8
Under 20	2
Master	12
Veteran	8

Venue	Hayling
Total Competitors	45
Newcomers	1
No of Males	40
No of Females	5
Under 17	6
Under 20	2
Master	20
Veteran	8

Venue	Christchurch
Total Competitors	40
Newcomers	1
No of Males	35
No of Females	5
Under 17	7
Under 20	3
Master	16
Veteran	5

Venue	Tenby
Total Competitors	37
Newcomers	2
No of Males	33
No of Females	4
Under 17	8
Under 20	2
Master	14
Veteran	6

